tenant_id,id,id_card,eff_begin,eff_end,first_name,last_name,birth_place,birth_date,email,phone,mobile,hobbies,strength,weakness,country_code,lov_ptyp,lov_blod,lov_gndr,lov_rlgn,lov_mars,created_by,created_at,updated_by,updated_at,file_photo
12345,1,,1970-01-01,9999-12-31,Alex,Wallace,"Sidney, Australia",1968-12-07,alex.wallace@majuterus123.com,,,,,,ID,EMP,OO,M,CAT,M,0,2018-01-01,,,
12345,2,,1970-01-01,9999-12-31,Thomas,King,Pontianak,1973-04-27,thomas.king@majuterus123.com,,,Reading,Deligent,dificult to focus,ID,EMP,BO,M,CHR,M,0,2018-01-01,,,
12345,3,,1970-01-01,9999-12-31,Riady,Hongqi,"Macau, China",1970-01-27,riady.hongqi@majuterus123.com,,,,,,ID,EMP,BO,M,BUD,M,0,2018-01-01,,,
12345,9,,1970-01-01,9999-12-31,Tanutama,Zhen,"Macau, China",1973-08-17,tanutama.zhen@majuterus123.com,,,,,,ID,EMP,AB,M,CHR,M,0,2018-01-01,,,
12345,10,,1970-01-01,9999-12-31,Yorit,Jade,Kupang,1975-07-23,yorit.jade@majuterus123.com,,,,,,ID,EMP,AB,M,CAT,M,0,2018-01-01,,,
12345,16,,1970-01-01,9999-12-31,Elkanah,Dasopang,Surakarta,1971-08-31,elkanah.dasopang@majuterus123.com,,,,,,ID,EMP,OO,M,CAT,M,0,2018-01-01,,,
12345,18,,1970-01-01,9999-12-31,Runa,Ely,Jakarta,1991-05-15,runa.ely@majuterus123.com,,,,,,ID,EMP,OO,F,CHR,S,0,2018-01-01,,,
12345,19,,1970-01-01,9999-12-31,Victor,Shambo,Manado,1986-11-21,victor.shambo@majuterus123.com,,,,,,ID,EMP,BO,M,BUD,S,0,2018-01-01,,,
12345,23,,1970-01-01,9999-12-31,John,Gersang,Singapure,1983-01-05,john.gersang@majuterus123.com,,,,,,ID,EMP,AB,M,CAT,S,0,2018-01-01,,,
12345,24,,1970-01-01,9999-12-31,Marah,Simanjuntak,Bengkulu,1992-10-25,marah.simanjuntak@majuterus123.com,,,,,,ID,EMP,AO,F,MOS,M,0,2018-01-01,,,
12345,31,,1970-01-01,9999-12-31,Liamantara,Luli,Jakarta,1984-01-27,liamantara.luli@majuterus123.com,,,,,,ID,EMP,BO,F,MOS,M,0,2018-01-01,,,
12345,32,,1970-01-01,9999-12-31,Oprah,Gurning,Jakarta,1996-02-11,oprah.gurning@majuterus123.com,,,,,,ID,EMP,AO,F,MOS,S,0,2018-01-01,,,
12345,33,,1970-01-01,9999-12-31,Mishael,Barus,Jakarta,1979-09-24,mishael.barus@majuterus123.com,,,"Drawing , Reading Comics",,,ID,EMP,BO,M,CAT,M,0,2018-01-01,,,
12345,37,,1970-01-01,9999-12-31,Othniel,Kian,Medan,1984-04-24,othniel.kian@majuterus123.com,,,,,,ID,EMP,OO,M,MOS,M,0,2018-01-01,,,
12345,43,,1970-01-01,9999-12-31,Sudiroprojo,Guntur,Jakarta,1991-09-20,sudiroprojo.guntur@majuterus123.com,,,"Travelling, Outdoor Sports, Hiking, Video Games",,,ID,EMP,BO,M,MOS,S,0,2018-01-01,,,
12345,44,,1970-01-01,9999-12-31,Tjandra,Bolin,Makassar,1981-03-14,thandra.bolin@majuterus123.com,,,,,,ID,EMP,AO,M,CAT,M,0,2018-01-01,,,
12345,52,,1970-01-01,9999-12-31,Wahyu,Sasmita,Jakarta,1989-08-11,gahelpdesk@majuterus123.com,,,,"Microsoft SQL Server 2000, Microsoft Office 2003",,ID,EMP,AB,M,MOS,M,0,2018-01-01,,,
12345,54,,1970-01-01,9999-12-31,Krisna,Oesman,Banyuwangi,1973-06-01,krisna.oesman@majuterus123.com,,,,,,ID,EMP,BO,M,MOS,M,0,2018-01-01,,,
12345,55,,1970-01-01,9999-12-31,Victor,Lambe,Medan,1988-01-01,victor.lambe@majuterus123.com,,,,"Teamwork Oriented, Agile Workflow, Open Minded, Eager To Learn, Emphaty to Other, Love to Share, Convert Caffeine to Design/Codes",,ID,EMP,BO,M,BUD,M,0,2018-01-01,,,
12345,58,,1970-01-01,9999-12-31,Ratna,Susman,Jakarta,1990-06-17,ratna.susman@majuterus123.com,,,,,,ID,EMP,AO,F,MOS,S,0,2018-01-01,,,
12345,61,,1970-01-01,9999-12-31,Yongki,Xing,Jakarta,1992-02-16,yongki.xing@majuterus123.com,,,,,,ID,EMP,OO,M,MOS,S,0,2018-01-01,,,
12345,62,,1970-01-01,9999-12-31,Miriam,Mismis,Jakarta,1993-06-20,miriam.mismis@majuterus123.com,,,,"Interactive, Adaptable, Punctual",,ID,EMP,OO,F,CAT,S,0,2018-01-01,,,
12345,65,,1970-01-01,9999-12-31,Sjeng,Madubun,Kudus,1984-03-28,sjeng.madubun@majuterus123.com,,,,,,ID,EMP,OO,M,CAT,M,0,2018-01-01,,,
12345,70,,1970-01-01,9999-12-31,Levi,Saragi,Banyumas,1988-04-17,levi.saragi@majuterus123.com,,,,,,ID,EMP,AB,M,MOS,M,0,2018-01-01,,,
12345,71,,1970-01-01,9999-12-31,Barnabas,Nadeak,Jakarta,1991-08-31,barnabas.nadeak@majuterus123.com,,,,,,ID,EMP,AO,M,MOS,M,0,2018-01-01,,,
12345,82,,1970-01-01,9999-12-31,Ade,Agusalim,Tasikmalaya,1993-07-28,ade.agusalim@majuterus123.com,,,,,,ID,EMP,BO,M,CHR,S,0,2018-01-01,,,
12345,83,,1970-01-01,9999-12-31,Adi,Tanudjaja,Jakarta,1990-12-03,adi.tanudjaja@majuterus123.com,,,,,,ID,EMP,BO,M,CAT,S,0,2018-01-01,,,
12345,88,,1970-01-01,9999-12-31,Philip,Jambe,Jakarta,1990-10-14,philip.lambe@majuterus123.com,,,,,,ID,EMP,AB,M,CHR,S,0,2018-01-01,,,
12345,93,,1970-01-01,9999-12-31,Timothy,Parapat,Jakarta,1988-03-08,timothy.parapat@majuterus123.com,,,"Futsal, Video Game, Listening Music",,,ID,EMP,OO,M,CHR,S,0,2018-01-01,,,
12345,100,,1970-01-01,9999-12-31,Saul,Simorangkir,Lumban sitorus,1993-07-09,saul.simorangkir@majuterus123.com,,,,,,ID,EMP,OO,M,CHR,S,0,2018-01-01,,,
12345,101,,1970-01-01,9999-12-31,Sonny,Sudirman,Bandung,1989-11-29,sonny.sudirman@majuterus123.com,,,,,,ID,EMP,AB,M,MOS,M,0,2018-01-01,,,
12345,103,,1970-01-01,9999-12-31,Halim,Jianyu,Semarang,1984-05-26,halim.jianyu@majuterus123.com,,,,,,ID,EMP,OO,M,CAT,S,0,2018-01-01,,,
12345,104,,1970-01-01,9999-12-31,Canggih,Yongnian,Pamekasan,1984-09-25,canggih.yongnian@majuterus123.com,,,,,,ID,EMP,OO,M,MOS,M,0,2018-01-01,,,
12345,105,,1970-01-01,9999-12-31,Joanna,Parapat,Jakarta,1970-04-25,joanna.parapat@majuterus123.com,,,,,,ID,EMP,BO,F,MOS,S,0,2018-01-01,,,
12345,156,,1970-01-01,9999-12-31,Bambang,Widjaja,Jakarta,1989-05-01,bambang.widjaja@majuterus123.com,,,,,,ID,EMP,BO,M,CHR,S,0,2018-01-01,,,
12345,164,,1970-01-01,9999-12-31,Elisha,Biru,Madiun,1989-05-27,elisha.biru@majuterus123.com,,,,,,ID,EMP,BO,F,MOS,M,0,2018-01-01,,,
12345,171,,1970-01-01,9999-12-31,Tandoko,Zihao,Bogor,1992-04-19,tandoko.zihao@majuterus123.com,,,,,,ID,EMP,AO,M,MOS,S,0,2018-01-01,,,
12345,179,,1970-01-01,9999-12-31,Justus,Haro,Jakarta,1994-04-27,justus.haro@majuterus123.com,,,"Listening Music, Football, Watching Movie",,,ID,EMP,AO,M,MOS,S,0,2018-01-01,,,
12345,192,,1970-01-01,9999-12-31,Zebadiah,Rangkuti,Cimahi,1988-07-31,zebadiah.rangkuti@majuterus123.com,,,,,,ID,EMP,AO,M,MOS,M,0,2018-01-01,,,
12345,193,,1970-01-01,9999-12-31,Rebecca,Lumbannahor,Jakarta,1974-05-26,rebecca.lumbannahor@majuterus123.com,,,,,,ID,EMP,BO,F,MOS,S,0,2018-01-01,,,
12345,196,,1970-01-01,9999-12-31,Glenna,Johan,Jakarta,1992-07-28,glenna.johan@majuterus123.com,,,"Reading, Watching Movie, Coloring","Creative, Responsible, Hard worker, Discipline",,ID,EMP,OO,F,CAT,S,0,2018-01-01,,,
12345,203,,1970-01-01,9999-12-31,Yolanda,Kastor,Bima,1991-11-08,yolanda.kastor@majuterus123.com,,,,"Graphic Designer, Digital Imaging, Socializing",,ID,EMP,BO,F,MOS,S,0,2018-01-01,,,
12345,210,,1970-01-01,9999-12-31,Sarah,Simaebang,Sibolga,1993-07-15,sarah.simaebang@majuterus123.com,,,,,,ID,EMP,AO,F,BUD,S,0,2018-01-01,,,
12345,211,,1970-01-01,9999-12-31,Artemis,Saragi,Jakarta,1992-11-18,artemis.saragi@majuterus123.com,,,,,,ID,EMP,OO,F,MOS,S,0,2018-01-01,,,
12345,217,,1970-01-01,9999-12-31,Asa,Sinamo,Japan,1986-07-03,asa.sinamo@majuterus123.com,,,,,,ID,EMP,AO,M,MOS,M,0,2018-01-01,,,
12345,228,,1970-01-01,9999-12-31,Abraham,Seribu,Jakarta,1983-09-25,abraham.seribu@majuterus123.com,,,,,,ID,EMP,AO,M,MOS,M,0,2018-01-01,,,
12345,231,,1970-01-01,9999-12-31,Angela,Bolahan,Jakarta,1985-04-23,angela.bolahan@majuterus123.com,,,"Watching Movies, Travelling",,,ID,EMP,AB,F,CAT,S,0,2018-01-01,,,
12345,235,,1970-01-01,9999-12-31,Yuliana,Wibowo,Jakarta,1985-08-11,yuliana.wibowo@majuterus123.com,,,,,,ID,EMP,AO,F,CAT,S,0,2018-01-01,,,
12345,239,,1970-01-01,9999-12-31,Tanoto,Minzhe,Jakarta,1989-09-17,tanoto.minzhe@majuterus123.com,,,,,,ID,EMP,AB,M,MOS,S,0,2018-01-01,,,
12345,240,,1970-01-01,9999-12-31,Lucas,Hasugian,Jakarta,1988-04-08,lucas.hasugian@majuterus123.com,,,,,,ID,EMP,AB,M,MOS,M,0,2018-01-01,,,
12345,247,,1970-01-01,9999-12-31,Raharjo,Saryono,Jakarta,1986-03-04,raharjo.saryono@majuterus123.com,,,,,,ID,EMP,AB,M,CHR,S,0,2018-01-01,,,
12345,252,,1970-01-01,9999-12-31,Natan,Adi,Semarang,1988-02-29,natan.adi@majuterus123.com,,,,,,ID,EMP,AO,M,BUD,M,0,2018-01-01,,,
12345,253,,1970-01-01,9999-12-31,Ernest,Abdi,Jakarta,1990-03-17,ernest.abdi@majuterus123.com,,,,,,ID,EMP,AO,M,CAT,M,0,2018-01-01,,,
12345,259,,1970-01-01,9999-12-31,Hendra,Darmadi,Bekasi,1987-06-06,hendra.darmadi@majuterus123.com,,,,,,ID,EMP,BO,M,BUD,S,0,2018-01-01,,,
12345,264,,1970-01-01,9999-12-31,Silas,Bahorok,Tangerang,1992-02-06,silas.bahorok@majuterus123.com,,,,,,ID,EMP,BO,M,MOS,S,0,2018-01-01,,,
