"tenant_id","person_id","eff_begin","eff_end","lov_famr","name","lov_gndr","birth_date","lov_edul","occupation","description","created_by","created_at","updated_by","updated_at","id","is_emergency","address","phone"
1000000000,1,"2018-01-04","9999-12-31","HUS","Alexis Sanchez","M","1988-01-20","SMK","Red Devil","",1,"2018-01-04 02:58:29+00",1,"2018-03-13 04:03:43+00",1,True,"",""
1000000000,5,"2018-03-22","2020-12-16","BRO","Kaka","M","2018-03-22","S3","","",1,"2018-03-22 10:01:59+00",1,"2018-03-23 08:22:10+00",3,False,"",""
1000000000,425,"2018-04-05","9999-12-31","SIS","Putri","F","1992-02-07","S1","Doctor","",1,"2018-04-05 10:08:35+00",1,"2018-04-05 10:09:27+00",4,"","",""
1000000000,477,"2018-06-25","9999-12-31","A","WIdodo","Male","2018-06-25","S1","","",1,"2018-06-25 07:48:05+00",1,"2018-09-07 07:33:08+00",7,False,"",""
1000000000,2,"2018-06-25","9999-12-31","FTR","Widodo","M","2018-06-25","S1","","",1,"2018-06-25 08:08:14+00",1,"2018-07-25 09:51:07+00",8,True,"",""
1000000000,477,"2018-07-20","9999-12-31","SP","Siska","Female","2018-07-20","SMA","","",1,"2018-07-20 07:08:23+00",1,"2018-09-07 07:33:08+00",9,False,"",""
1000000000,481,"2018-07-20","9999-12-31","A","nova","Male","2018-07-20","SD","","ayah",1,"2018-07-20 07:31:22+00","","",10,"","",""
1000000000,480,"2018-07-24","9999-12-31","SL","angel","Female","2015-07-02","SD","","",1,"2018-07-24 06:58:26+00",1,"2018-08-23 10:54:56+00",11,False,"",""
1000000000,482,"2018-08-02","9999-12-31","A","dd","Male","2018-08-02","SD","","",1,"2018-08-02 09:43:46+00","","",12,"","",""
1000000000,487,"2018-09-10","9999-12-31","A","nn","Female","1992-07-01","SD","","",1,"2018-09-10 06:45:45+00","","",14,"","",""
1000000000,3,"2017-11-29","2050-12-31","SON","Wibi","M","2012-11-22","S1","PHP Programmer","zzz",1,"2017-11-28 21:44:33+00",1,"2018-03-26 07:06:34+00",259,False,"","080808080808"
1000000000,3,"2017-11-29","2050-12-31","MTR","Diana","F","1947-01-30","S3","Wonder Woman","Mother of noble descent",1,"2017-11-29 00:01:01+00",1,"2018-03-26 07:08:46+00",260,False,"","021021021"
1000000000,3,"2017-12-15","2050-12-31","DAU","Liliane","F","2017-12-15","SMK","Baby","",1,"2017-12-14 19:48:58+00",1,"2018-03-26 07:06:34+00",263,False,"",""
